"Sample.ID","Region","Region.ID","Site.ID","Site.Latitude","Site.Longitude"
"BKT_QC_14_1","Quebec","QC","QC_14",46.7094444,-78.996944
"BKT_QC_14_2","Quebec","QC","QC_14",46.7094444,-78.996944
"BKT_QC_14_3","Quebec","QC","QC_14",46.7094444,-78.996944
"BKT_QC_4_1","Quebec","QC","QC_4",49.31327,-79.19431
"BKT_QC_4_2","Quebec","QC","QC_4",49.31327,-79.19431
"BKT_GA_2_1","Georgia","GA","GA_2",34.91184,-83.31328
"BKT_GA_2_2","Georgia","GA","GA_2",34.91184,-83.31328
"BKT_QC_9_1","Quebec","QC","QC_9",49.154167,-62.715278
"BKT_CT_1_1","Connecticut","CT","CT_1",41.93077,-72.33418
"BKT_CT_1_2","Connecticut","CT","CT_1",41.93077,-72.33418
"BKT_ME_5_1","Maine","ME","ME_5",43.35174,-70.55028
"BKT_VA_4_1","Virginia","VA","VA_4",38.430921,-79.087531
"BKT_NL_1_1","Newfoundland","NL","NL_1",46.646,-53.221733
"BKT_QC_15_1","Quebec","QC","QC_15",46.531403,-70.577855
"BKT_MN_2_1","Minnesota","MN","MN_2",44.031761,-91.832923
"BKT_MN_2_2","Minnesota","MN","MN_2",44.031761,-91.832923
"BKT_TN_1_1","Tennessee","TN","TN_1",35.803414,-83.243197
"BKT_TN_1_2","Tennessee","TN","TN_1",35.803414,-83.243197
"BKT_TN_1_3","Tennessee","TN","TN_1",35.803414,-83.243197
"BKT_QC_8_1","Quebec","QC","QC_8",50.216667,-60.866667
"BKT_QC_8_2","Quebec","QC","QC_8",50.216667,-60.866667
"BKT_QC_10_1","Quebec","QC","QC_10",49.083333,-64.55
"BKT_QC_10_2","Quebec","QC","QC_10",49.083333,-64.55
"BKT_QC_10_3","Quebec","QC","QC_10",49.083333,-64.55
"BKT_QC_10_4","Quebec","QC","QC_10",49.083333,-64.55
"BKT_QC_7_1","Quebec","QC","QC_7",50.617945,-61.875805
"BKT_NH_1_1","New Hampshire","NH","NH_1",44.87505,-71.05134
"BKT_NH_1_2","New Hampshire","NH","NH_1",44.87505,-71.05134
"BKT_NH_1_3","New Hampshire","NH","NH_1",44.87505,-71.05134
"BKT_NH_1_4","New Hampshire","NH","NH_1",44.87505,-71.05134
"BKT_VA_1_1","Virginia","VA","VA_1",38.57771,-79.11591
"BKT_randolph_hatch_1",NA,NA,"randolph_hatch",NA,NA
